noteType,pivotType,pivotX,pivotY,pivotZ,direction,speed,bar,4th,8th,16th,3rd,6th,12th,24th
8,World,0,7,-7,U,1,6,0,4,1,,,,
8,World,1,6,-7,U,1,6,0,4,2,,,,
8,World,1,5,-6,U,1,6,0,4,3,,,,
8,World,0,5,-5,U,1,6,0,4,4,,,,
8,World,-1,6,-5,U,1,6,0,4,5,,,,
8,World,-1,7,-6,U,1,6,0,4,6,,,,
8,World,-1,8,-7,U,1,6,0,4,7,,,,
8,World,-2,8,-6,U,1,7,0,0,0,,,,
8,World,-2,7,-5,U,1,7,0,0,1,,,,
8,World,-2,6,-4,U,1,7,0,0,2,,,,
8,World,-1,5,-4,U,1,7,0,0,3,,,,
8,World,0,4,-4,U,1,7,0,0,4,,,,
8,World,1,4,-5,U,1,7,0,0,5,,,,
8,World,2,4,-6,U,1,7,0,0,6,,,,
8,World,2,5,-7,U,1,7,0,0,7,,,,
8,World,2,6,-8,U,1,7,0,0,8,,,,
8,World,1,7,-8,U,1,7,0,0,9,,,,
8,World,0,8,-8,U,1,7,0,0,10,,,,
8,World,0,7,-7,U,1,7,0,0,11,,,,
99,World,0,0,0,U,2,7,0,0,12,,,,
0,멜로디 시작,,,,,,,,,,,,,
4,World,0,0,0,LD,3,8,0,0,0,,,,
99,Player1,0,0,0,U,3,8,1,,,,,,
99,Player1,0,0,0,U,3,8,2,,,,,,
99,Player1,0,0,0,U,3,8,3,,,,,,
99,Player1,0,0,0,U,3,9,1,,,,,,
99,Player1,0,0,0,U,3,9,2,,,,,,
99,Player1,0,0,0,U,3,9,3,,,,,,
3,World,0,0,0,U,3,10,,,,,,,
99,Player1,0,0,0,U,3,10,1,,,,,,
99,Player1,0,0,0,U,3,10,2,,,,,,
99,Player1,0,0,0,U,3,10,3,,,,,,
99,Player1,0,0,0,U,3,11,,,,,,,
99,Player1,0,0,0,U,3,11,1,,,,,,
99,Player1,0,0,0,U,3,11,1,1,,,,,
99,Player1,0,0,0,U,3,11,2,0,1,,,,
99,Player1,0,0,0,U,3,11,3,,,,,,
4,World,0,0,0,RD,3,12,,,,,,,
99,Player1,0,0,0,U,3,12,1,,,,,,
10,PlayerA,0,0,0,U,2,12,1,0,3,0,0,0,1
99,Player1,0,0,0,U,3,12,2,,,,,,
10,PlayerA,0,0,0,U,2,12,2,0,3,0,0,0,1
99,Player1,0,0,0,U,3,12,3,,,,,,
10,PlayerA,0,0,0,U,2,12,3,0,3,0,0,0,1
99,Player1,0,0,0,U,3,13,1,,,,,,
10,PlayerA,0,0,0,U,2,13,1,,,,,,
99,Player1,0,0,0,U,3,13,2,,,,,,
10,PlayerA,0,0,0,U,2,13,2,,,,,,
99,Player1,0,0,0,U,3,13,3,,,,,,
10,PlayerA,0,0,0,U,2,13,3,,,,,,
99,World,0,0,0,U,2,14,,,,,,,
99,Player1,0,0,0,U,2,14,1,,,,,,
99,Player1,0,0,0,U,2,14,2,,,,,,
99,Player1,0,0,0,U,2,14,3,,,,,,
10,PlayerA,0,0,0,U,3,15,,,,,,,
10,PlayerA,0,0,0,U,3,15,0,0,3,,,,
10,PlayerA,0,0,0,U,3,15,0,0,6,,,,
10,PlayerA,0,0,0,U,3,15,0,0,9,,,,
10,PlayerA,0,0,0,U,3,15,0,0,12,,,,
0,연설. 아이템 등장,,,,,,,,,,,,,
7,World,0,30,-30,U,1,16,0,0,,,,,
200,World,0,-9,9,U,1,16,0,0,1,,,,
200,World,-9,0,9,D,1,16,0,0,2,,,,
200,World,9,-9,0,D,1,16,0,0,3,,,,
200,World,-3,-3,6,LD,1,16,0,0,4,,,,
200,World,3,-6,3,LD,1,16,0,0,5,,,,
200,World,-6,3,3,RD,1,16,0,0,6,,,,
200,World,6,-3,-3,RD,1,16,0,0,7,,,,
10,PlayerA,0,0,0,U,2,16,0,0,8,,,,
10,PlayerA,0,0,0,U,2,18,2,,,,,,
99,Player1,0,0,0,U,2,20,,,,,,,
0,뭐 땅이 사라지든 뭐 하든..,,,,U,,,,,,,,,
8,Player1,0,0,0,U,3,21,,,,,,,
8,Player2,0,0,0,U,3,21,1,,,,,,
8,Player3,0,0,0,U,3,21,2,,,,,,
8,Player1,0,0,0,U,3,21,3,,,,,,
8,Player2,0,0,0,U,2,22,0,,,,,,
8,Player3,0,0,0,U,2,22,0,1,,,,,
8,Player1,0,0,0,U,2,22,0,2,,,,,
8,Player2,0,0,0,U,2,22,0,3,,,,,
8,Player3,0,0,0,U,2,22,0,4,,,,,
8,Player1,0,0,0,U,2,22,0,5,,,,,
8,Player2,0,0,0,U,2,22,0,6,,,,,
8,Player3,0,0,0,U,2,22,0,7,,,,,
8,Player1,0,1,-1,U,1,23,0,0,,,,,
8,Player2,1,-1,0,U,1,23,0,0,1,,,,
8,Player3,-1,0,1,U,1,23,0,0,2,,,,
8,Player1,0,-1,1,U,1,23,0,0,3,,,,
8,Player2,-1,1,0,U,1,23,0,0,4,,,,
8,Player3,1,0,-1,U,1,23,0,0,5,,,,
8,Player1,1,0,-1,U,1,23,0,0,6,,,,
8,Player2,0,-1,1,U,1,23,0,0,7,,,,
8,Player3,-1,1,0,U,1,23,0,0,8,,,,
8,Player1,-1,0,1,U,1,23,0,0,9,,,,
8,Player2,1,-1,0,U,1,23,0,0,10,,,,
8,Player3,0,1,-1,U,1,23,0,0,11,,,,
10,PlayerA,0,0,0,U,1,23,0,0,12,,,,
0,2차,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,U,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
-600,END,0,0,0,U,0,30,1,1,,,,,
