noteType,pivotType,pivotX,pivotY,pivotZ,direction,speed,bar,4th,8th,16th,3rd,6th,12th,24th
10,Player1,0,0,0,U,3,5,1,,,,,,
99,Player2,0,0,0,U,3,5,1,,,,,,
1002,Effect,0,0,0,U,2,5,1,,,,,,
5,PlayerM,0,0,0,U,3,5,0,6,,,,,
99,Player2,0,0,0,U,3,5,0,6,,,,,
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,6,,,,,,,
10,Player1,0,0,0,U,3,6,0,1,,,,,
99,Player3,0,0,0,U,3,6,1,,,,,,
10,Player1,0,0,0,U,3,6,2,,,,,,
99,Player3,0,0,0,U,3,6,3,,,,,,
10,Player1,0,0,0,U,3,6,3,,,,,,
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,7,,,,,,,
10,Player1,0,0,0,U,3,7,0,1,,,,,
10,Player1,0,0,0,U,3,7,0,2,,,,,
99,Player3,0,0,0,U,3,7,0,2,,,,,
10,Player1,0,0,0,U,3,7,0,3,1,,,,
10,Player1,0,0,0,U,3,7,0,4,1,,,,
10,Player1,0,0,0,U,3,7,0,6,,,,,
99,Player3,0,0,0,U,3,7,0,6,,,,,
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,8,0,1,,,,,
99,Player2,0,0,0,U,3,8,0,2,,,,,
10,Player1,0,0,0,U,3,8,0,4,,,,,
10,Player1,0,0,0,U,3,8,0,5,,,,,
99,Player2,0,0,0,U,3,8,0,6,,,,,
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,9,0,0,,,,,
10,Player1,0,0,0,U,3,9,0,0,1,,,,
10,Player1,0,0,0,U,3,9,0,1,1,,,,
99,Player2,0,0,0,U,3,9,1,,,,,,
10,Player1,0,0,0,U,3,9,0,2,1,,,,
10,Player1,0,0,0,U,3,9,0,3,1,,,,
10,Player1,0,0,0,U,3,9,0,4,1,,,,
10,Player1,0,0,0,U,3,9,0,6,,,,,
99,Player2,0,0,0,U,3,9,0,6,,,,,
1002,Effect,0,0,0,U,2,9,0,6,,,,,
5,PlayerM,0,0,0,U,3,9,0,6,,,,,
10,Player1,0,0,0,U,3,10,,,,,,,
10,Player1,0,0,0,U,3,10,1,,,,,,
99,Player3,0,0,0,U,3,10,1,,,,,,
10,Player1,0,0,0,U,3,10,2,,,,,,
10,Player1,0,0,0,U,3,10,2,1,,,,,
99,Player3,0,0,0,U,3,10,3,,,,,,
10,Player1,0,0,0,U,3,10,3,1,,,,,
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,11,,,,,,,
10,Player1,0,0,0,U,3,11,0,1,,,,,
99,Player3,0,0,0,U,3,11,1,,,,,,
10,Player1,0,0,0,U,3,11,1,,,,,,
10,Player1,0,0,0,U,3,11,2,,,,,,
99,Player3,0,0,0,U,3,11,3,,,,,,
0,,,,,,,,,,,,,,
0,바이올린,,,,,,,,,,,,,
606,World,35,2,-37,U,3,12,,,,,,,
200,World,-3,6,-3,U,3,12,,,,,,,
200,World,12,-10,-2,U,3,12,,,,,,,
-1,World,3,-3,0,LD,2,12,1,,,,,,
1003,Effect,0,0,0,U,2,12,3,,,,,,
99,Playerm,0,0,0,RD,2,12,3,,,,,,
0,,,,,,,,,,,,,,
5,PlayerF,0,0,0,U,3,13,1,,,,,,
0,,,,,,,,,,,,,,
6,Boss,0,0,0,LD,3,13,3,,,,,,
-1,World,3,-5,2,LD,2,14,1,,,,,,
1003,Effect,0,0,0,U,2,14,3,,,,,,
99,Playerm,0,0,0,LU,2,14,3,,,,,,
0,,,,,,,,,,,,,,
5,PlayerF,0,0,0,RU,3,15,1,,,,,,
0,,,,,,,,,,,,,,
6,Boss,0,0,0,D,3,15,3,,,,,,
-1,World,5,-4,-1,LU,2,16,1,,,,,,
1003,Effect,0,0,0,U,2,16,3,,,,,,
99,Playerm,0,0,0,RU,2,16,3,,,,,,
0,,,,,,,,,,,,,,
5,PlayerF,0,0,0,LU,3,17,1,,,,,,
0,,,,,,,,,,,,,,
6,Boss,0,0,0,D,3,17,3,,,,,,
-1,World,7,-7,0,LU,2,18,1,,,,,,
1003,Effect,0,0,0,U,2,18,3,,,,,,
99,Playerm,0,0,0,RD,2,18,3,,,,,,
0,,,,,,,,,,,,,,
5,PlayerF,0,0,0,LD,3,19,1,,,,,,
0,,,,,,,,,,,,,,
6,Boss,0,0,0,LD,3,19,3,,,,,,
0,,,,,,,,,,,,,,
10,Player3,0,0,0,U,3,20,0,0,0,0,0,0,18
606,World,40,3,-43,U,3,21,,,,,,,
0,후반,,,,,,,,,,,,,
10,Player3,0,0,0,U,3,21,0,,,,,,
3,Player1,0,0,0,U,3,21,0,,,,,,
0,,,,,,,,,,,,,,
10,Player3,0,0,0,U,3,21,1,,,,,,
10,Player3,0,0,0,U,3,21,1,1,,,,,
10,Player3,0,0,0,U,3,21,2,,,,,,
99,Player1,0,0,0,U,3,21,2,,,,,,
0,,,,,,,,,,,,,,
10,Player3,0,0,0,U,3,21,3,,,,,,
10,Player3,0,0,0,U,3,21,3,1,,,,,
10,Player3,0,0,0,U,3,22,0,,,,,,
4,Player1,0,0,0,U,3,22,0,,,,,,
0,,,,,,,,,,,,,,
10,Player3,0,0,0,U,3,22,0,1,,,,,
10,Player3,0,0,0,U,3,22,1,0,,,,,
10,Player3,0,0,0,U,3,22,1,1,,,,,
1001,Effect,0,0,0,U,2,22,2,,,,,,
99,Player1,0,0,0,U,3,22,2,,,,,,
0,,,,,,,,,,,,,,
10,Player2,0,0,0,U,3,22,0,0,0,0,0,0,21
0,,,,,,,,,,,,,,
3,Player3,0,0,0,U,3,23,,,,,,,
10,Player2,0,0,0,U,3,23,,,,,,,
10,Player2,0,0,0,U,3,23,0,0,0,0,0,0,5
10,Player2,0,0,0,U,3,23,0,0,0,0,0,0,9
99,Player3,0,0,0,U,3,23,2,,,,,,
10,Player2,0,0,0,U,3,23,0,0,0,0,0,0,12
10,Player2,0,0,0,U,3,23,0,0,0,0,0,0,17
0,,,,,,,,,,,,,,
4,Player3,0,0,0,U,3,24,,,,,,,
10,Player2,0,0,0,U,3,24,,,,,,,
10,Player2,0,0,0,U,3,24,0,1,,,,,
10,Player2,0,0,0,U,3,24,1,,,,,,
10,Player2,0,0,0,U,3,24,2,,,,,,
99,Player3,0,0,0,U,3,24,2,,,,,,
10,Player2,0,0,0,U,3,24,2,1,,,,,
10,Player2,0,0,0,U,3,24,3,,,,,,
0,,,,,,,,,,,,,,
1001,Effect,0,0,0,U,2,25,,,,,,,
3,Player2,0,0,0,U,3,25,,,,,,,
10,Player2,0,0,0,U,3,25,0,0,0,0,0,0,3
99,Player2,0,0,0,U,3,25,0,0,0,0,0,0,12
10,Player1,0,0,0,U,3,25,0,0,0,0,0,0,12
10,Player1,0,0,0,U,3,25,0,0,0,0,0,0,15
0,,,,,,,,,,,,,,
4,Player2,0,0,0,U,3,26,,,,,,,
10,Player1,0,0,0,U,3,26,,,,,,,
10,Player1,0,0,0,U,3,26,0,0,0,0,0,0,3
10,Player1,0,0,0,U,3,26,0,0,0,0,0,0,6
10,Player1,0,0,0,U,3,26,0,0,0,0,0,0,10
10,Player1,0,0,0,U,3,26,0,0,0,0,0,0,12
99,Player2,0,0,0,U,3,26,0,0,0,0,0,0,12
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,26,0,0,0,0,0,0,18
10,Player1,0,0,0,U,3,27,,,,,,,
99,Player1,0,0,0,U,3,27,,,,,,,
99,Player2,0,0,0,U,3,27,,,,,,,
99,Player3,0,0,0,U,3,27,,,,,,,
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,27,0,0,0,0,0,0,9
10,Player1,0,0,0,U,3,27,0,0,0,0,0,0,12
99,Player1,0,0,0,U,3,27,0,0,0,0,0,0,12
99,Player2,0,0,0,U,3,27,0,0,0,0,0,0,12
99,Player3,0,0,0,U,3,27,0,0,0,0,0,0,12
10,Player1,0,0,0,U,3,27,0,0,0,0,0,0,21
0,,,,,,,,,,,,,,
10,Player1,0,0,0,U,3,28,,,,,,,
99,Player1,0,0,0,U,3,28,,,,,,,
99,Player2,0,0,0,U,3,28,,,,,,,
99,Player3,0,0,0,U,3,28,,,,,,,
10,Player1,0,0,0,U,3,28,0,0,0,0,0,0,3
10,Player1,0,0,0,U,3,28,0,0,0,0,0,0,6
10,Player1,0,0,0,U,3,28,0,0,0,0,0,0,11
99,Player1,0,0,0,U,3,28,0,0,0,0,0,0,12
99,Player2,0,0,0,U,3,28,0,0,0,0,0,0,12
99,Player3,0,0,0,U,3,28,0,0,0,0,0,0,12
0,,,,,,,,,,,,,,
5,Player1,0,0,0,U,3,28,0,0,0,0,0,0,18
5,Player2,0,0,0,U,3,28,0,0,0,0,0,0,18
5,Player3,0,0,0,U,3,28,0,0,0,0,0,0,18
99,Player1,0,0,0,U,3,29,,,,,,,
99,Player2,0,0,0,U,3,29,,,,,,,
99,Player3,0,0,0,U,3,29,,,,,,,
0,,,,,,,,,,,,,,
-600,END,0,0,0,U,0,30,1,1,,,,,
