id,x,y,z,w,color,type
164,9,-7,-2,0,3,0
165,8,-5,-3,-2,2,0
166,10,-6,-4,0,2,0
167,9,-5,-4,-1,0,0
168,8,-4,-4,-3,0,0
169,8,-3,-5,-3,1,0
170,8,-2,-6,-3,3,0
171,8,-1,-7,-3,3,0
172,7,0,-7,-3,3,0
173,6,1,-7,-2,1,0
174,6,-1,-5,2,0,0
175,6,0,-6,0,2,0
176,8,-6,-2,0,0,0
177,5,2,-7,-2,2,0
178,5,3,-8,-2,2,0
179,5,4,-9,-3,0,0
180,5,5,-10,0,2,0
181,1,-4,3,-1,2,0
182,9,-4,-5,-2,2,0
183,9,-3,-6,-3,4,0
184,9,-2,-7,-3,0,0
185,8,0,-8,-3,0,0
186,7,1,-8,-3,3,0
187,6,2,-8,-3,3,0
188,6,3,-9,-3,4,0
189,6,4,-10,0,0,0
190,6,5,-11,0,0,0
191,1,6,-7,0,0,0
192,2,6,-8,0,1,0
193,3,6,-9,1,4,0
194,4,6,-10,0,4,0
195,-1,7,-6,0,4,0
196,-2,7,-5,0,0,0
197,-3,7,-4,1,3,0
198,-4,7,-3,2,1,0
199,0,7,-7,1,1,0
200,7,2,-9,-3,0,0
201,7,3,-10,-2,4,0
202,7,4,-11,-1,4,0
203,8,1,-9,-3,0,0
204,8,2,-10,-3,3,0
205,8,3,-11,0,0,0
206,8,4,-12,0,2,0
207,7,5,-12,0,3,0
208,10,-5,-5,-2,3,0
209,11,-7,-4,1,3,0
210,11,-6,-5,0,0,0
211,11,-5,-6,-2,0,0
212,10,-4,-6,-2,0,0
213,10,-3,-7,-3,2,0
214,10,-2,-8,-3,0,0
215,10,-1,-9,-3,4,0
216,9,-1,-8,-3,2,0
217,9,0,-9,-3,2,0
218,9,1,-10,-3,0,0
219,9,2,-11,-3,0,0
220,9,3,-12,0,2,0
221,10,0,-10,-3,0,0
222,10,1,-11,-3,0,0
223,11,-4,-7,-3,3,0
224,11,-3,-8,-3,4,0
225,11,-2,-9,-4,4,0
226,11,-1,-10,-4,4,0
227,12,-6,-6,0,4,0
228,12,-7,-5,0,2,0
229,12,-5,-7,0,2,0
230,12,-4,-8,-2,2,0
231,12,-3,-9,-3,0,0
232,13,-7,-6,0,0,0
233,13,-6,-7,0,0,0
234,13,-5,-8,-1,2,0
235,13,-4,-9,0,2,0
236,11,0,-11,-4,2,0
237,12,-2,-10,-6,2,0
238,7,-8,1,1,0,0
239,5,-8,3,1,2,0
240,6,6,-12,0,0,0
241,5,6,-11,1,0,0
242,4,7,-11,1,2,0
243,3,7,-10,1,2,0
244,1,7,-8,1,2,0
245,2,7,-9,1,0,0
246,-5,4,1,1,1,0
247,-2,-5,7,2,1,0
248,1,-7,6,1,0,0
249,10,2,-12,-3,0,0
